Concentration_ug/mL,Vmax_Fitted,Equation
0.15625,12281.259216290264,y = (38002.70 * x) / (0.3272 + x)
0.1931532663316583,14105.258336808347,y = (38002.70 * x) / (0.3272 + x)
0.23005653266331658,15687.694932769718,y = (38002.70 * x) / (0.3272 + x)
0.26695979899497485,17073.57597806182,y = (38002.70 * x) / (0.3272 + x)
0.30386306532663315,18297.381529342732,y = (38002.70 * x) / (0.3272 + x)
0.34076633165829145,19385.9724454721,y = (38002.70 * x) / (0.3272 + x)
0.3776695979899497,20360.584767223638,y = (38002.70 * x) / (0.3272 + x)
0.414572864321608,21238.228809316446,y = (38002.70 * x) / (0.3272 + x)
0.4514761306532663,22032.690437912326,y = (38002.70 * x) / (0.3272 + x)
0.4883793969849246,22755.26052864495,y = (38002.70 * x) / (0.3272 + x)
0.5252826633165829,23415.27496875184,y = (38002.70 * x) / (0.3272 + x)
0.5621859296482412,24020.520228173253,y = (38002.70 * x) / (0.3272 + x)
0.5990891959798994,24577.541987845758,y = (38002.70 * x) / (0.3272 + x)
0.6359924623115578,25091.882823510205,y = (38002.70 * x) / (0.3272 + x)
0.672895728643216,25568.26726904667,y = (38002.70 * x) / (0.3272 + x)
0.7097989949748743,26010.747366859072,y = (38002.70 * x) / (0.3272 + x)
0.7467022613065326,26422.818209596295,y = (38002.70 * x) / (0.3272 + x)
0.7836055276381909,26807.510451581093,y = (38002.70 * x) / (0.3272 + x)
0.8205087939698492,27167.46497333489,y = (38002.70 * x) / (0.3272 + x)
0.8574120603015075,27504.993590843893,y = (38002.70 * x) / (0.3272 + x)
0.8943153266331658,27822.128760680647,y = (38002.70 * x) / (0.3272 + x)
0.931218592964824,28120.664539785408,y = (38002.70 * x) / (0.3272 + x)
0.9681218592964823,28402.19054390917,y = (38002.70 * x) / (0.3272 + x)
1.0050251256281406,28668.12026225574,y = (38002.70 * x) / (0.3272 + x)
1.0419283919597988,28919.714793142783,y = (38002.70 * x) / (0.3272 + x)
1.0788316582914572,29158.102841927786,y = (38002.70 * x) / (0.3272 + x)
1.1157349246231156,29384.297650329692,y = (38002.70 * x) / (0.3272 + x)
1.1526381909547738,29599.211392790738,y = (38002.70 * x) / (0.3272 + x)
1.189541457286432,29803.667471265147,y = (38002.70 * x) / (0.3272 + x)
1.2264447236180904,29998.411057851004,y = (38002.70 * x) / (0.3272 + x)
1.2633479899497486,30184.118169827387,y = (38002.70 * x) / (0.3272 + x)
1.300251256281407,30361.403510039316,y = (38002.70 * x) / (0.3272 + x)
1.3371545226130652,30530.82726425475,y = (38002.70 * x) / (0.3272 + x)
1.3740577889447234,30692.901013865077,y = (38002.70 * x) / (0.3272 + x)
1.4109610552763818,30848.092895402147,y = (38002.70 * x) / (0.3272 + x)
1.44786432160804,30996.83211647884,y = (38002.70 * x) / (0.3272 + x)
1.4847675879396984,31139.51291990241,y = (38002.70 * x) / (0.3272 + x)
1.5216708542713566,31276.498073059487,y = (38002.70 * x) / (0.3272 + x)
1.558574120603015,31408.121947602023,y = (38002.70 * x) / (0.3272 + x)
1.5954773869346732,31534.693244478283,y = (38002.70 * x) / (0.3272 + x)
1.6323806532663316,31656.497411060434,y = (38002.70 * x) / (0.3272 + x)
1.6692839195979898,31773.798790207104,y = (38002.70 * x) / (0.3272 + x)
1.706187185929648,31886.84253531537,y = (38002.70 * x) / (0.3272 + x)
1.7430904522613064,31995.85632056044,y = (38002.70 * x) / (0.3272 + x)
1.7799937185929646,32101.051871430667,y = (38002.70 * x) / (0.3272 + x)
1.816896984924623,32202.626337208425,y = (38002.70 * x) / (0.3272 + x)
1.8538002512562812,32300.76352411671,y = (38002.70 * x) / (0.3272 + x)
1.8907035175879396,32395.635005359793,y = (38002.70 * x) / (0.3272 + x)
1.9276067839195978,32487.401122161154,y = (38002.70 * x) / (0.3272 + x)
1.964510050251256,32576.211888085363,y = (38002.70 * x) / (0.3272 + x)
2.0014133165829144,32662.207807372946,y = (38002.70 * x) / (0.3272 + x)
2.0383165829145726,32745.5206166779,y = (38002.70 * x) / (0.3272 + x)
2.0752198492462313,32826.27395844418,y = (38002.70 * x) / (0.3272 + x)
2.112123115577889,32904.58399316023,y = (38002.70 * x) / (0.3272 + x)
2.1490263819095476,32980.55995686786,y = (38002.70 * x) / (0.3272 + x)
2.185929648241206,33054.30466955257,y = (38002.70 * x) / (0.3272 + x)
2.222832914572864,33125.91499939112,y = (38002.70 * x) / (0.3272 + x)
2.259736180904522,33195.48228726412,y = (38002.70 * x) / (0.3272 + x)
2.296639447236181,33263.09273544562,y = (38002.70 * x) / (0.3272 + x)
2.333542713567839,33328.82776394759,y = (38002.70 * x) / (0.3272 + x)
2.3704459798994972,33392.76433761657,y = (38002.70 * x) / (0.3272 + x)
2.4073492462311554,33454.975266745285,y = (38002.70 * x) / (0.3272 + x)
2.444252512562814,33515.52948366797,y = (38002.70 * x) / (0.3272 + x)
2.4811557788944723,33574.49229754834,y = (38002.70 * x) / (0.3272 + x)
2.5180590452261304,33631.92562934019,y = (38002.70 * x) / (0.3272 + x)
2.5549623115577886,33687.888228697564,y = (38002.70 * x) / (0.3272 + x)
2.591865577889447,33742.43587443195,y = (38002.70 * x) / (0.3272 + x)
2.6287688442211055,33795.62155995425,y = (38002.70 * x) / (0.3272 + x)
2.6656721105527637,33847.495664997565,y = (38002.70 * x) / (0.3272 + x)
2.702575376884422,33898.106114790404,y = (38002.70 * x) / (0.3272 + x)
2.73947864321608,33947.498527737516,y = (38002.70 * x) / (0.3272 + x)
2.7763819095477387,33995.71635256482,y = (38002.70 * x) / (0.3272 + x)
2.813285175879397,34042.8009957951,y = (38002.70 * x) / (0.3272 + x)
2.850188442211055,34088.79194034053,y = (38002.70 * x) / (0.3272 + x)
2.8870917085427132,34133.726855925976,y = (38002.70 * x) / (0.3272 + x)
2.9239949748743714,34177.641701992085,y = (38002.70 * x) / (0.3272 + x)
2.96089824120603,34220.57082366906,y = (38002.70 * x) / (0.3272 + x)
2.9978015075376883,34262.54704135935,y = (38002.70 * x) / (0.3272 + x)
3.0347047738693465,34303.601734420416,y = (38002.70 * x) / (0.3272 + x)
3.0716080402010046,34343.76491939591,y = (38002.70 * x) / (0.3272 + x)
3.1085113065326633,34383.06532320527,y = (38002.70 * x) / (0.3272 + x)
3.1454145728643215,34421.53045166658,y = (38002.70 * x) / (0.3272 + x)
3.1823178391959797,34459.18665369639,y = (38002.70 * x) / (0.3272 + x)
3.219221105527638,34496.05918150127,y = (38002.70 * x) / (0.3272 + x)
3.256124371859296,34532.17224704997,y = (38002.70 * x) / (0.3272 + x)
3.2930276381909547,34567.54907509191,y = (38002.70 * x) / (0.3272 + x)
3.329930904522613,34602.211952965474,y = (38002.70 * x) / (0.3272 + x)
3.366834170854271,34636.182277421,y = (38002.70 * x) / (0.3272 + x)
3.4037374371859292,34669.48059866497,y = (38002.70 * x) / (0.3272 + x)
3.4406407035175874,34702.12666181592,y = (38002.70 * x) / (0.3272 + x)
3.477543969849246,34734.13944594783,y = (38002.70 * x) / (0.3272 + x)
3.5144472361809043,34765.53720088326,y = (38002.70 * x) / (0.3272 + x)
3.5513505025125625,34796.33748188593,y = (38002.70 * x) / (0.3272 + x)
3.5882537688442206,34826.55718239165,y = (38002.70 * x) / (0.3272 + x)
3.6251570351758793,34856.21256490539,y = (38002.70 * x) / (0.3272 + x)
3.6620603015075375,34885.31929018365,y = (38002.70 * x) / (0.3272 + x)
3.6989635678391957,34913.89244481184,y = (38002.70 * x) / (0.3272 + x)
3.735866834170854,34941.94656727886,y = (38002.70 * x) / (0.3272 + x)
3.772770100502512,34969.495672643534,y = (38002.70 * x) / (0.3272 + x)
3.8096733668341707,34996.55327588087,y = (38002.70 * x) / (0.3272 + x)
3.846576633165829,35023.13241398974,y = (38002.70 * x) / (0.3272 + x)
3.883479899497487,35049.24566693806,y = (38002.70 * x) / (0.3272 + x)
3.9203831658291453,35074.90517751617,y = (38002.70 * x) / (0.3272 + x)
3.957286432160804,35100.12267016417,y = (38002.70 * x) / (0.3272 + x)
3.994189698492462,35124.90946883463,y = (38002.70 * x) / (0.3272 + x)
4.03109296482412,35149.276513947785,y = (38002.70 * x) / (0.3272 + x)
4.067996231155778,35173.23437849259,y = (38002.70 * x) / (0.3272 + x)
4.104899497487437,35196.79328332338,y = (38002.70 * x) / (0.3272 + x)
4.141802763819095,35219.96311169869,y = (38002.70 * x) / (0.3272 + x)
4.178706030150753,35242.75342310561,y = (38002.70 * x) / (0.3272 + x)
4.215609296482412,35265.173466410364,y = (38002.70 * x) / (0.3272 + x)
4.25251256281407,35287.232192373085,y = (38002.70 * x) / (0.3272 + x)
4.289415829145728,35308.93826556236,y = (38002.70 * x) / (0.3272 + x)
4.326319095477387,35330.3000757029,y = (38002.70 * x) / (0.3272 + x)
4.363222361809044,35351.32574848748,y = (38002.70 * x) / (0.3272 + x)
4.400125628140703,35372.02315588251,y = (38002.70 * x) / (0.3272 + x)
4.437028894472362,35392.39992595468,y = (38002.70 * x) / (0.3272 + x)
4.4739321608040195,35412.46345224434,y = (38002.70 * x) / (0.3272 + x)
4.510835427135678,35432.220902709945,y = (38002.70 * x) / (0.3272 + x)
4.547738693467337,35451.6792282663,y = (38002.70 * x) / (0.3272 + x)
4.5846419597989945,35470.84517093781,y = (38002.70 * x) / (0.3272 + x)
4.621545226130653,35489.72527164701,y = (38002.70 * x) / (0.3272 + x)
4.658448492462311,35508.325877657175,y = (38002.70 * x) / (0.3272 + x)
4.6953517587939695,35526.65314968682,y = (38002.70 * x) / (0.3272 + x)
4.732255025125628,35544.71306871287,y = (38002.70 * x) / (0.3272 + x)
4.769158291457286,35562.51144247822,y = (38002.70 * x) / (0.3272 + x)
4.8060615577889445,35580.053911718656,y = (38002.70 * x) / (0.3272 + x)
4.842964824120602,35597.34595612301,y = (38002.70 * x) / (0.3272 + x)
4.879868090452261,35614.39290003998,y = (38002.70 * x) / (0.3272 + x)
4.9167713567839195,35631.199917943915,y = (38002.70 * x) / (0.3272 + x)
4.953674623115577,35647.77203967147,y = (38002.70 * x) / (0.3272 + x)
4.990577889447236,35664.1141554402,y = (38002.70 * x) / (0.3272 + x)
5.027481155778894,35680.2310206596,y = (38002.70 * x) / (0.3272 + x)
5.064384422110552,35696.12726054468,y = (38002.70 * x) / (0.3272 + x)
5.101287688442211,35711.80737454122,y = (38002.70 * x) / (0.3272 + x)
5.138190954773869,35727.275740571844,y = (38002.70 * x) / (0.3272 + x)
5.175094221105527,35742.53661911122,y = (38002.70 * x) / (0.3272 + x)
5.211997487437185,35757.59415709828,y = (38002.70 * x) / (0.3272 + x)
5.248900753768844,35772.452391693216,y = (38002.70 * x) / (0.3272 + x)
5.285804020100502,35787.11525388615,y = (38002.70 * x) / (0.3272 + x)
5.32270728643216,35801.5865719645,y = (38002.70 * x) / (0.3272 + x)
5.359610552763819,35815.87007484524,y = (38002.70 * x) / (0.3272 + x)
5.396513819095477,35829.96939527829,y = (38002.70 * x) / (0.3272 + x)
5.433417085427135,35843.88807292684,y = (38002.70 * x) / (0.3272 + x)
5.470320351758794,35857.62955732993,y = (38002.70 * x) / (0.3272 + x)
5.5072236180904515,35871.197210752645,y = (38002.70 * x) / (0.3272 + x)
5.54412688442211,35884.59431092884,y = (38002.70 * x) / (0.3272 + x)
5.581030150753769,35897.82405370109,y = (38002.70 * x) / (0.3272 + x)
5.6179334170854265,35910.88955556224,y = (38002.70 * x) / (0.3272 + x)
5.654836683417085,35923.79385610295,y = (38002.70 * x) / (0.3272 + x)
5.691739949748743,35936.53992036922,y = (38002.70 * x) / (0.3272 + x)
5.7286432160804015,35949.130641133655,y = (38002.70 * x) / (0.3272 + x)
5.76554648241206,35961.56884108421,y = (38002.70 * x) / (0.3272 + x)
5.802449748743718,35973.85727493393,y = (38002.70 * x) / (0.3272 + x)
5.8393530150753765,35985.99863145481,y = (38002.70 * x) / (0.3272 + x)
5.876256281407034,35997.99553543922,y = (38002.70 * x) / (0.3272 + x)
5.913159547738693,36009.85054959161,y = (38002.70 * x) / (0.3272 + x)
5.9500628140703515,36021.56617635353,y = (38002.70 * x) / (0.3272 + x)
5.986966080402009,36033.144859664695,y = (38002.70 * x) / (0.3272 + x)
6.023869346733668,36044.588986662566,y = (38002.70 * x) / (0.3272 + x)
6.0607726130653266,36055.90088932311,y = (38002.70 * x) / (0.3272 + x)
6.097675879396984,36067.08284604494,y = (38002.70 * x) / (0.3272 + x)
6.134579145728643,36078.137083179245,y = (38002.70 * x) / (0.3272 + x)
6.171482412060301,36089.06577650752,y = (38002.70 * x) / (0.3272 + x)
6.208385678391959,36099.87105266931,y = (38002.70 * x) / (0.3272 + x)
6.245288944723618,36110.55499054175,y = (38002.70 * x) / (0.3272 + x)
6.282192211055276,36121.119622573024,y = (38002.70 * x) / (0.3272 + x)
6.319095477386934,36131.566936071285,y = (38002.70 * x) / (0.3272 + x)
6.355998743718592,36141.89887445093,y = (38002.70 * x) / (0.3272 + x)
6.392902010050251,36152.11733843782,y = (38002.70 * x) / (0.3272 + x)
6.429805276381909,36162.224187234926,y = (38002.70 * x) / (0.3272 + x)
6.466708542713567,36172.22123965011,y = (38002.70 * x) / (0.3272 + x)
6.503611809045226,36182.11027518727,y = (38002.70 * x) / (0.3272 + x)
6.5405150753768835,36191.89303510227,y = (38002.70 * x) / (0.3272 + x)
6.577418341708542,36201.57122342515,y = (38002.70 * x) / (0.3272 + x)
6.614321608040201,36211.14650794955,y = (38002.70 * x) / (0.3272 + x)
6.6512248743718585,36220.620521190875,y = (38002.70 * x) / (0.3272 + x)
6.688128140703517,36229.99486131419,y = (38002.70 * x) / (0.3272 + x)
6.725031407035175,36239.27109303292,y = (38002.70 * x) / (0.3272 + x)
6.7619346733668335,36248.45074847954,y = (38002.70 * x) / (0.3272 + x)
6.798837939698492,36257.53532804923,y = (38002.70 * x) / (0.3272 + x)
6.83574120603015,36266.52630121736,y = (38002.70 * x) / (0.3272 + x)
6.8726444723618085,36275.42510733195,y = (38002.70 * x) / (0.3272 + x)
6.909547738693467,36284.233156381786,y = (38002.70 * x) / (0.3272 + x)
6.946451005025125,36292.951829741214,y = (38002.70 * x) / (0.3272 + x)
6.9833542713567835,36301.58248089236,y = (38002.70 * x) / (0.3272 + x)
7.020257537688441,36310.126436125545,y = (38002.70 * x) / (0.3272 + x)
7.0571608040201,36318.58499521878,y = (38002.70 * x) / (0.3272 + x)
7.094064070351759,36326.959432096926,y = (38002.70 * x) / (0.3272 + x)
7.130967336683416,36335.25099547129,y = (38002.70 * x) / (0.3272 + x)
7.167870603015075,36343.46090946035,y = (38002.70 * x) / (0.3272 + x)
7.204773869346733,36351.590374192245,y = (38002.70 * x) / (0.3272 + x)
7.241677135678391,36359.640566389535,y = (38002.70 * x) / (0.3272 + x)
7.27858040201005,36367.612639937106,y = (38002.70 * x) / (0.3272 + x)
7.315483668341708,36375.50772643349,y = (38002.70 * x) / (0.3272 + x)
7.352386934673366,36383.32693572635,y = (38002.70 * x) / (0.3272 + x)
7.389290201005024,36391.07135643256,y = (38002.70 * x) / (0.3272 + x)
7.426193467336683,36398.74205644347,y = (38002.70 * x) / (0.3272 + x)
7.463096733668341,36406.34008341581,y = (38002.70 * x) / (0.3272 + x)
7.5,36413.86646524865,y = (38002.70 * x) / (0.3272 + x)
